JKV_AZONOSITO,SZAVAZOKOR,JELOLT,SZAVAZAT,TIPUS,LISTA
62320,01_001_001,Rogán Antal,395,EGYENI,FIDESZ-KDNP
62320,01_001_001,Kerék-Bárczy Szabolcs,244,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62320,01_001_001,Schiffer András,123,EGYENI,LMP
62320,01_001_001,Hegedûs Lóránt Gézáné,68,EGYENI,JOBBIK
62320,01_001_001,Szöllõsi Istvánné,3,EGYENI,SZOCIÁLDEMOKRATÁK
62322,01_001_002,Rogán Antal,349,EGYENI,FIDESZ-KDNP
62322,01_001_002,Kerék-Bárczy Szabolcs,252,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62322,01_001_002,Schiffer András,98,EGYENI,LMP
62322,01_001_002,Hegedûs Lóránt Gézáné,44,EGYENI,JOBBIK
62322,01_001_002,Szöllõsi Istvánné,3,EGYENI,SZOCIÁLDEMOKRATÁK
62324,01_001_003,Rogán Antal,354,EGYENI,FIDESZ-KDNP
62324,01_001_003,Kerék-Bárczy Szabolcs,187,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62324,01_001_003,Schiffer András,77,EGYENI,LMP
62324,01_001_003,Hegedûs Lóránt Gézáné,58,EGYENI,JOBBIK
62324,01_001_003,Szöllõsi Istvánné,7,EGYENI,SZOCIÁLDEMOKRATÁK
62326,01_001_004,Rogán Antal,364,EGYENI,FIDESZ-KDNP
62326,01_001_004,Kerék-Bárczy Szabolcs,206,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62326,01_001_004,Schiffer András,89,EGYENI,LMP
62326,01_001_004,Hegedûs Lóránt Gézáné,43,EGYENI,JOBBIK
62326,01_001_004,Szöllõsi Istvánné,8,EGYENI,SZOCIÁLDEMOKRATÁK
62328,01_001_005,Rogán Antal,327,EGYENI,FIDESZ-KDNP
62328,01_001_005,Kerék-Bárczy Szabolcs,230,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62328,01_001_005,Schiffer András,108,EGYENI,LMP
62328,01_001_005,Hegedûs Lóránt Gézáné,49,EGYENI,JOBBIK
62328,01_001_005,Szöllõsi Istvánné,2,EGYENI,SZOCIÁLDEMOKRATÁK
62330,01_001_006,Rogán Antal,389,EGYENI,FIDESZ-KDNP
62330,01_001_006,Kerék-Bárczy Szabolcs,237,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62330,01_001_006,Schiffer András,134,EGYENI,LMP
62330,01_001_006,Hegedûs Lóránt Gézáné,43,EGYENI,JOBBIK
62330,01_001_006,Szöllõsi Istvánné,3,EGYENI,SZOCIÁLDEMOKRATÁK
62332,01_001_007,Rogán Antal,338,EGYENI,FIDESZ-KDNP
62332,01_001_007,Kerék-Bárczy Szabolcs,202,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62332,01_001_007,Schiffer András,77,EGYENI,LMP
62332,01_001_007,Hegedûs Lóránt Gézáné,43,EGYENI,JOBBIK
62332,01_001_007,Szöllõsi Istvánné,6,EGYENI,SZOCIÁLDEMOKRATÁK
62334,01_001_008,Rogán Antal,291,EGYENI,FIDESZ-KDNP
62334,01_001_008,Kerék-Bárczy Szabolcs,249,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62334,01_001_008,Schiffer András,106,EGYENI,LMP
62334,01_001_008,Hegedûs Lóránt Gézáné,42,EGYENI,JOBBIK
62334,01_001_008,Szöllõsi Istvánné,6,EGYENI,SZOCIÁLDEMOKRATÁK
62336,01_001_009,Rogán Antal,403,EGYENI,FIDESZ-KDNP
62336,01_001_009,Kerék-Bárczy Szabolcs,230,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
62336,01_001_009,Schiffer András,101,EGYENI,LMP
62336,01_001_009,Hegedûs Lóránt Gézáné,68,EGYENI,JOBBIK
62336,01_001_009,Szöllõsi Istvánné,5,EGYENI,SZOCIÁLDEMOKRATÁK
62338,01_001_010,Rogán Antal,329,EGYENI,FIDESZ-KDNP
62338,01_001_010,Kerék-Bárczy Szabolcs,273,EGYENI,MSZP-EGYÜTT-DK-PM-MLP
